ActivityIdentifier,ActivityStartDate,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,Measure,SampleAquifer
nwisco.01.01803516,2018-09-13,USGS-09081000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01901164,2019-03-20,USGS-09081000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01701018,2017-02-13,USGS-09081000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01801150,2018-03-19,USGS-09081000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01801216,2018-04-09,USGS-09081000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.01700461,2016-11-28,USGS-09081000,"Stable, normal stage",Routine sample,8.6,
nwisco.01.00001071,2000-01-14,USGS-09085000,"Stable, low stage",Routine sample,8.7,
nwisco.01.00001072,2000-01-12,USGS-09081000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.00000794,1999-12-02,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.00201668,2002-03-06,USGS-09081000,"Stable, low stage",Routine sample,8.7,
nwisco.01.00004000,2000-07-26,USGS-09085000,"Stable, low stage",Routine sample,8.7,
nwisco.01.00900335,2008-11-18,USGS-09081000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.00900830,2009-01-07,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01200698,2011-12-09,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01303570,2013-08-08,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01603164,2016-07-26,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01500938,2015-03-25,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01205157,2012-09-27,USGS-09085000,"Stable, normal stage",Routine sample,8.7,
nwisco.01.01201223,2012-02-14,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00801019,2008-02-26,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00800741,2008-01-28,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00901178,2009-03-10,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00500853,2005-01-27,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.99801039,1998-01-29,USGS-09081000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.99500201,1994-10-26,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.01701827,2017-05-24,USGS-09085000,"Stable, normal stage",Routine sample,8.8,
nwisco.01.00102117,2001-04-04,USGS-09081000,Rising stage,Snowmelt,8.9,
nwisco.01.00101250,2001-02-09,USGS-09085000,"Stable, low stage",Routine sample,8.9,
nwisco.01.00500540,2004-11-23,USGS-09085000,"Stable, normal stage",Routine sample,8.9,
nwisco.01.00501312,2005-03-25,USGS-09085000,"Stable, normal stage",Routine sample,8.9,
nwisco.01.00501309,2005-03-24,USGS-09081000,"Stable, normal stage",Routine sample,8.9,
nwisco.01.01700460,2016-11-28,USGS-09085000,"Stable, normal stage",Routine sample,8.9,
nwisco.01.02000892,2020-02-25,USGS-09081000,"Stable, normal stage",Routine sample,8.9,
nwisco.01.00600715,2006-02-16,USGS-09085000,"Stable, normal stage",Routine sample,9.0,
nwisco.01.00801021,2008-02-27,USGS-09081000,"Stable, normal stage",Routine sample,9.0,
nwisco.01.01001258,2010-02-17,USGS-09081000,"Stable, normal stage",Routine sample,9.0,
nwisco.01.00700271,2006-11-07,USGS-09085000,"Stable, normal stage",Routine sample,9.1,
nwisco.01.99801434,1998-03-12,USGS-392847107171100,"Stable, low stage",Routine sample,9.2,
nwisco.01.99806591,1998-03-30,USGS-392535107224600,"Stable, normal stage",Routine sample,5.0,
